model,link,collision,geometry,static,status,min_x,min_y,min_z,max_x,max_y,max_z,source_uri
airport_flat_field,link,flat_ground_collision,box,true,ignored_below_slice,-180,-75,-0.01,180,75,0.01,
runway_04_22,link,runway_collision,box,true,ignored_below_slice,-150,11,0,150,25,0.01,
parallel_taxiway,link,taxiway_collision,box,true,ignored_below_slice,-150,-16,0,150,-4,0.01,
north_runway_exit,link,collision,box,true,ignored_below_slice,-103,-12,0,-87,19,0.01,
south_runway_exit,link,collision,box,true,ignored_below_slice,57,-12,0,73,19,0.01,
center_runway_exit,link,collision,box,true,ignored_below_slice,-8,-12,0,8,19,0.01,
main_apron,link,collision,box,true,ignored_below_slice,-90,-48,0,120,-26,0.01,
terminal_connector_1,link,collision,box,true,ignored_below_slice,-42,-37,0,-28,-11,0.01,
terminal_connector_2,link,collision,box,true,ignored_below_slice,73,-37,0,87,-11,0.01,
terminal_building,link,collision,box,true,occupied,-90,-67,0,120,-53,10,
right_service_road,link,collision,box,true,ignored_below_slice,138,-70,0,152,0,0.01,
apron_to_service_road,link,collision,box,true,ignored_below_slice,47,-53,0,137,-43,0.01,
fuel_depot_pad,link,collision,box,true,ignored_below_slice,-35,38,0,35,66,0.01,
fire_station_pad,link,collision,box,true,ignored_below_slice,80,38,0,170,66,0.01,
parked_cessna_1,body,collision,mesh,true,occupied,-146.289951324,34.4887003899,0.191947835684,-138.659437895,45.5212535858,2.81380157471,model://cessna/meshes/body.dae
parked_cessna_1,left_aileron,collision,mesh,true,ignored_above_slice,-141.94509244,42.5799560547,1.93199472427,-141.395215273,44.8188438416,2.13231544495,model://cessna/meshes/left_aileron.dae
parked_cessna_1,left_flap,collision,mesh,true,ignored_above_slice,-141.966271162,40.5726795197,1.85736470222,-141.579797745,42.581782341,2.06946973801,model://cessna/meshes/left_flap.dae
parked_cessna_1,right_aileron,collision,mesh,true,ignored_above_slice,-141.954079866,35.1916546822,1.93199472427,-141.412007809,37.4325022697,2.13231544495,model://cessna/meshes/right_aileron.dae
parked_cessna_1,right_flap,collision,mesh,true,ignored_above_slice,-141.970898628,37.4310274124,1.85932855606,-141.585282087,39.440164566,2.07536153793,model://cessna/meshes/right_flap.dae
parked_cessna_1,elevators,collision,mesh,true,ignored_above_slice,-146.110774994,38.5155014992,1.08946596384,-145.54294157,41.5072383881,1.16016762257,model://cessna/meshes/elevators.dae
parked_cessna_1,rudder,collision,mesh,true,ignored_above_slice,-146.67677021,39.9674126953,0.90289233923,-145.561208725,40.0538736656,2.70971255302,model://cessna/meshes/rudder.dae
parked_cessna_1,propeller,collision,mesh,true,occupied,-138.651124737,39.860025987,0.307948141098,-138.208980433,40.1375460625,2.51311460018,model://cessna/meshes/cessna_prop.dae
parked_cessna_1,front_wheel,collision,cylinder,true,occupied,-139.468,39.9499988612,0.0569996836639,-139.108,40.0500011388,0.417000316336,
parked_cessna_1,rear_left_wheel,collision,cylinder,true,occupied,-141.25,41.1899984183,0.0499994938614,-140.75,41.3500015817,0.550000506139,
