global_step,episode,length,reward,success,collision,epsilon,temperature
49,1,49,-175.1684149503708,0.0,1.0,0.8997223333333334,0.999755
89,2,40,-185.3445693999529,0.0,1.0,0.8994956666666667,0.999555
146,3,57,-208.23163051903248,0.0,1.0,0.8991726666666667,0.99927
204,4,58,-217.64589568972588,0.0,1.0,0.898844,0.99898
236,5,32,-188.22675082087517,0.0,1.0,0.8986626666666667,0.99882
271,6,35,-174.64540596306324,0.0,1.0,0.8984643333333333,0.998645
326,7,55,-208.9284863471985,0.0,1.0,0.8981526666666667,0.99837
380,8,54,-201.99090206623077,0.0,1.0,0.8978466666666667,0.9981
431,9,51,-200.88282775878906,0.0,1.0,0.8975576666666667,0.997845
475,10,44,-210.90033820271492,0.0,1.0,0.8973083333333334,0.997625
530,11,55,-204.24920634925365,0.0,1.0,0.8969966666666667,0.99735
571,12,41,-221.5077751800418,0.0,1.0,0.8967643333333334,0.997145
612,13,41,-204.96247225999832,0.0,1.0,0.896532,0.99694
649,14,37,-176.79484564065933,0.0,1.0,0.8963223333333333,0.996755
701,15,52,-212.9030058979988,0.0,1.0,0.8960276666666667,0.996495
739,16,38,-184.4220497906208,0.0,1.0,0.8958123333333333,0.996305
789,17,50,-197.91449423134327,0.0,1.0,0.895529,0.996055
826,18,37,-182.77710537612438,0.0,1.0,0.8953193333333334,0.99587
858,19,32,-189.56205463409424,0.0,1.0,0.895138,0.99571
901,20,43,-185.30166105926037,0.0,1.0,0.8948943333333333,0.995495
953,21,52,-186.95971064269543,0.0,1.0,0.8945996666666667,0.995235
1006,22,53,-195.7832369506359,0.0,1.0,0.8942993333333333,0.99497
1036,23,30,-167.97715723514557,0.0,1.0,0.8941293333333333,0.99482
1072,24,36,-185.58302250504494,0.0,1.0,0.8939253333333333,0.99464
1129,25,57,-206.0277900248766,0.0,1.0,0.8936023333333334,0.994355
1160,26,31,-175.54422095417976,0.0,1.0,0.8934266666666667,0.9942
1202,27,42,-192.2457785308361,0.0,1.0,0.8931886666666667,0.99399
1229,28,27,-175.21607047319412,0.0,1.0,0.8930356666666667,0.993855
1265,29,36,-185.62455974519253,0.0,1.0,0.8928316666666667,0.993675
1300,30,35,-179.55036389827728,0.0,1.0,0.8926333333333334,0.9935
1350,31,50,-190.75499568879604,0.0,1.0,0.89235,0.99325
1393,32,43,-195.49136663973331,0.0,1.0,0.8921063333333333,0.993035
1437,33,44,-208.98165147006512,0.0,1.0,0.891857,0.992815
1488,34,51,-204.15167962014675,0.0,1.0,0.891568,0.99256
1546,35,58,-224.9471338391304,0.0,1.0,0.8912393333333334,0.99227
1599,36,53,-201.87402565777302,0.0,1.0,0.890939,0.992005
1648,37,49,-205.03213806450367,0.0,1.0,0.8906613333333333,0.99176
1679,38,31,-173.68764185905457,0.0,1.0,0.8904856666666667,0.991605
1726,39,47,-192.68415628373623,0.0,1.0,0.8902193333333334,0.99137
1783,40,57,-180.5835130997002,0.0,1.0,0.8898963333333334,0.991085
1834,41,51,-189.28896233439445,0.0,1.0,0.8896073333333333,0.99083
1877,42,43,-192.0970962047577,0.0,1.0,0.8893636666666667,0.990615
1917,43,40,-174.53863576054573,0.0,1.0,0.8891370000000001,0.990415
1970,44,53,-224.04862028360367,0.0,1.0,0.8888366666666667,0.99015
2028,45,58,-195.9850395321846,0.0,1.0,0.8885080000000001,0.98986
2075,46,47,-208.79604636132717,0.0,1.0,0.8882416666666667,0.989625
2104,47,29,-169.08084471523762,0.0,1.0,0.8880773333333334,0.98948
2139,48,35,-177.48584860563278,0.0,1.0,0.887879,0.989305
2193,49,54,-204.44836565107107,0.0,1.0,0.8875730000000001,0.989035
2243,50,50,-192.40518943965435,0.0,1.0,0.8872896666666666,0.988785
2292,51,49,-201.60090152919292,0.0,1.0,0.887012,0.98854
2330,52,38,-205.46218061447144,0.0,1.0,0.8867966666666667,0.98835
2376,53,46,-201.54013530910015,0.0,1.0,0.886536,0.98812
2414,54,38,-181.35516844689846,0.0,1.0,0.8863206666666666,0.98793
2455,55,41,-182.58525608479977,0.0,1.0,0.8860883333333334,0.987725
2504,56,49,-207.53067192435265,0.0,1.0,0.8858106666666666,0.98748
2550,57,46,-204.09019511938095,0.0,1.0,0.8855500000000001,0.98725
2607,58,57,-197.91302729398012,0.0,1.0,0.885227,0.986965
2637,59,30,-206.70689404010773,0.0,1.0,0.885057,0.986815
2695,60,58,-214.92400813102722,0.0,1.0,0.8847283333333333,0.986525
2736,61,41,-200.95732533931732,0.0,1.0,0.8844960000000001,0.98632
2781,62,45,-201.31091186404228,0.0,1.0,0.884241,0.9860949999999999
2829,63,48,-203.63223499059677,0.0,1.0,0.883969,0.985855
2870,64,41,-192.44244876503944,0.0,1.0,0.8837366666666667,0.98565
2905,65,35,-222.93859465420246,0.0,1.0,0.8835383333333333,0.985475
2958,66,53,-209.8972043991089,0.0,1.0,0.883238,0.98521
3001,67,43,-207.6758783608675,0.0,1.0,0.8829943333333333,0.984995
3059,68,58,-193.43796630203724,0.0,1.0,0.8826656666666667,0.984705
3094,69,35,-173.35717569291592,0.0,1.0,0.8824673333333334,0.98453
3147,70,53,-209.66202527284622,0.0,1.0,0.882167,0.984265
3200,71,53,-220.43291924893856,0.0,1.0,0.8818666666666667,0.984
3241,72,41,-178.8147133141756,0.0,1.0,0.8816343333333334,0.983795
3298,73,57,-214.35217729210854,0.0,1.0,0.8813113333333333,0.98351
3350,74,52,-214.180698543787,0.0,1.0,0.8810166666666667,0.98325
3391,75,41,-197.39498895406723,0.0,1.0,0.8807843333333334,0.983045
3450,76,59,-202.472134411335,0.0,1.0,0.8804500000000001,0.98275
3490,77,40,-181.72903656959534,0.0,1.0,0.8802233333333334,0.98255
3539,78,49,-200.9303089529276,0.0,1.0,0.8799456666666667,0.982305
3568,79,29,-177.01483210921288,0.0,1.0,0.8797813333333333,0.98216
3615,80,47,-211.72932097315788,0.0,1.0,0.879515,0.981925
3660,81,45,-222.91813676059246,0.0,1.0,0.87926,0.9817
3695,82,35,-189.84643541276455,0.0,1.0,0.8790616666666667,0.981525
3741,83,46,-197.36973702907562,0.0,1.0,0.878801,0.981295
3779,84,38,-183.4885948896408,0.0,1.0,0.8785856666666667,0.981105
3816,85,37,-200.3603164702654,0.0,1.0,0.878376,0.98092
3862,86,46,-225.16824713349342,0.0,1.0,0.8781153333333334,0.98069
3922,87,60,-216.03320309519768,0.0,1.0,0.8777753333333334,0.98039
3958,88,36,-182.88078032433987,0.0,1.0,0.8775713333333334,0.98021
4002,89,44,-195.41458241641521,0.0,1.0,0.877322,0.97999
4055,90,53,-188.07417064905167,0.0,1.0,0.8770216666666667,0.979725
4104,91,49,-199.72682644426823,0.0,1.0,0.876744,0.97948
4163,92,59,-191.87084978818893,0.0,1.0,0.8764096666666666,0.979185
4208,93,45,-183.98853839933872,0.0,1.0,0.8761546666666666,0.97896
4261,94,53,-201.11661314964294,0.0,1.0,0.8758543333333334,0.978695
4318,95,57,-213.25332762300968,0.0,1.0,0.8755313333333333,0.97841
4350,96,32,-186.168123036623,0.0,1.0,0.8753500000000001,0.97825
4388,97,38,-208.74752309918404,0.0,1.0,0.8751346666666667,0.97806
4442,98,54,-205.8972198665142,0.0,1.0,0.8748286666666667,0.97779
4490,99,48,-196.1793623417616,0.0,1.0,0.8745566666666666,0.97755
4550,100,60,-209.46560782194138,0.0,1.0,0.8742166666666666,0.97725
4600,101,50,-193.65533451735973,0.0,1.0,0.8739333333333333,0.977
4655,102,55,-195.44649020768702,0.0,1.0,0.8736216666666667,0.976725
4699,103,44,-184.9356437921524,0.0,1.0,0.8733723333333333,0.976505
4757,104,58,-199.20433096587658,0.0,1.0,0.8730436666666667,0.976215
4792,105,35,-186.7287681698799,0.0,1.0,0.8728453333333334,0.97604
4822,106,30,-179.08327008783817,0.0,1.0,0.8726753333333334,0.97589
4853,107,31,-167.79311576485634,0.0,1.0,0.8724996666666667,0.975735
4901,108,48,-230.83255365490913,0.0,1.0,0.8722276666666667,0.975495
4951,109,50,-190.43472078442574,0.0,1.0,0.8719443333333333,0.975245
