global_step,episode,length,reward,success,collision,epsilon,temperature
68,1,68,-261.69782261550426,0.0,1.0,0.24977333333333335,0.99915
138,2,70,-242.59228768199682,0.0,1.0,0.24954,0.998275
218,3,80,-260.01297909766436,0.0,1.0,0.24927333333333335,0.997275
295,4,77,-240.1946387172211,0.0,1.0,0.24901666666666666,0.9963125
356,5,61,-211.73953755944967,0.0,1.0,0.24881333333333333,0.99555
417,6,61,-228.44891756772995,0.0,1.0,0.24861,0.9947875
491,7,74,-227.99237032607198,0.0,1.0,0.24836333333333332,0.9938625
565,8,74,-232.51575692743063,0.0,1.0,0.24811666666666668,0.9929375
635,9,70,-222.45743886753917,0.0,1.0,0.24788333333333334,0.9920625
719,10,84,-247.55280900001526,0.0,1.0,0.24760333333333334,0.9910125
804,11,85,-244.8937984108925,0.0,1.0,0.24732,0.98995
868,12,64,-211.1126852184534,0.0,1.0,0.24710666666666667,0.98915
932,13,64,-225.85065858066082,0.0,1.0,0.24689333333333333,0.98835
996,14,64,-195.68194542452693,0.0,1.0,0.24668,0.98755
1067,15,71,-242.92793745547533,0.0,1.0,0.24644333333333332,0.9866625
1129,16,62,-214.01514670811594,0.0,1.0,0.24623666666666666,0.9858875
1199,17,70,-229.622123491019,0.0,1.0,0.24600333333333332,0.9850125
1265,18,66,-238.90988288680092,0.0,1.0,0.24578333333333333,0.9841875
1341,19,76,-262.00177416577935,0.0,1.0,0.24553,0.9832375
1410,20,69,-229.33941412344575,0.0,1.0,0.2453,0.982375
1483,21,73,-238.1606997922063,0.0,1.0,0.24505666666666667,0.9814625
1557,22,74,-232.28440101863816,0.0,1.0,0.24481,0.9805375
1617,23,60,-218.50521222874522,0.0,1.0,0.24461,0.9797875
1679,24,62,-261.0798660516739,0.0,1.0,0.24440333333333333,0.9790125
1753,25,74,-220.58018919127062,0.0,1.0,0.24415666666666666,0.9780875
1812,26,59,-265.4953279644251,0.0,1.0,0.24396,0.97735
1879,27,67,-231.9566717799753,0.0,1.0,0.24373666666666666,0.9765125
1936,28,57,-223.8953695334494,0.0,1.0,0.24354666666666666,0.9758
1998,29,62,-198.20802241936326,0.0,1.0,0.24334,0.975025
2068,30,70,-149.69149500504136,0.0,1.0,0.24310666666666667,0.97415
2179,31,111,13.322348423302174,1.0,0.0,0.24273666666666666,0.9727625
2309,32,130,-46.1060300283134,0.0,0.0,0.24230333333333334,0.9711375
2380,33,71,-141.9250980783254,0.0,1.0,0.24206666666666665,0.97025
2454,34,74,-170.51009503379464,0.0,1.0,0.24182,0.969325
