global_step,episode,length,reward,success,collision,epsilon,temperature
68,1,68,-265.8478292375803,0.0,1.0,0.2997875,0.9993625
138,2,70,-247.34612651914358,0.0,1.0,0.29956875,0.99870625
218,3,80,-265.6001910045743,0.0,1.0,0.29931874999999997,0.99795625
295,4,77,-247.09463956579566,0.0,1.0,0.299078125,0.997234375
356,5,61,-215.80030977725983,0.0,1.0,0.2988875,0.9966625
417,6,61,-233.14793072640896,0.0,1.0,0.298696875,0.996090625
491,7,74,-233.9923693947494,0.0,1.0,0.298465625,0.995396875
565,8,74,-237.5178171992302,0.0,1.0,0.298234375,0.994703125
635,9,70,-228.65759640559554,0.0,1.0,0.298015625,0.994046875
719,10,84,-252.0389674832113,0.0,1.0,0.297753125,0.993259375
804,11,85,-250.30835589766502,0.0,1.0,0.2974875,0.9924625
868,12,64,-215.79570033075288,0.0,1.0,0.2972875,0.9918625
932,13,64,-229.06891006231308,0.0,1.0,0.2970875,0.9912625
996,14,64,-199.96942512318492,0.0,1.0,0.29688749999999997,0.9906625
1067,15,71,-244.41132912039757,0.0,1.0,0.296665625,0.989996875
1129,16,62,-219.26474475115538,0.0,1.0,0.296471875,0.989415625
1199,17,70,-234.6721242889762,0.0,1.0,0.296253125,0.988759375
1265,18,66,-243.39970794739202,0.0,1.0,0.296046875,0.988140625
1341,19,76,-266.868683591485,0.0,1.0,0.295809375,0.987428125
1410,20,69,-234.28940914943814,0.0,1.0,0.29559375,0.98678125
1483,21,73,-243.30911844596267,0.0,1.0,0.29536562499999997,0.986096875
1557,22,74,-237.71002884046175,0.0,1.0,0.295134375,0.985403125
1617,23,60,-222.91717230947688,0.0,1.0,0.294946875,0.984840625
1679,24,62,-265.08243203908205,0.0,1.0,0.294753125,0.984259375
1753,25,74,-227.22004606574774,0.0,1.0,0.294521875,0.983565625
1812,26,59,-269.02822238206863,0.0,1.0,0.2943375,0.9830125
1879,27,67,-239.78030244633555,0.0,1.0,0.29412812499999996,0.982384375
1936,28,57,-228.3849349883385,0.0,1.0,0.29395,0.98185
1998,29,62,-202.57810937985778,0.0,1.0,0.29375625,0.98126875
2059,30,61,-217.3759728372097,0.0,1.0,0.293565625,0.980696875
2130,31,71,-237.2854005843401,0.0,1.0,0.29334375,0.98003125
2197,32,67,-277.20394280552864,0.0,1.0,0.293134375,0.979403125
2264,33,67,-243.35935692489147,0.0,1.0,0.292925,0.978775
2335,34,71,-232.80365650028034,0.0,1.0,0.292703125,0.978109375
2413,35,78,-235.1481470093131,0.0,1.0,0.29245937499999997,0.977378125
2484,36,71,-208.1819740384817,0.0,1.0,0.2922375,0.9767125
2555,37,71,-271.5823949277401,0.0,1.0,0.292015625,0.976046875
2613,38,58,-220.44961808621883,0.0,1.0,0.291834375,0.975503125
2682,39,69,-208.56085831671953,0.0,1.0,0.29161875,0.97485625
2756,40,74,-276.1563160568476,0.0,1.0,0.29138749999999997,0.9741625
2829,41,73,-250.49278365448117,0.0,1.0,0.291159375,0.973478125
2901,42,72,-276.6223605647683,0.0,1.0,0.29093437499999997,0.972803125
2967,43,66,-247.50120237469673,0.0,1.0,0.290728125,0.972184375
3042,44,75,-193.28099304577336,0.0,1.0,0.29049375,0.97148125
3119,45,77,-163.99450938403606,0.0,1.0,0.290253125,0.970759375
3189,46,70,-194.3056544587016,0.0,1.0,0.290034375,0.970103125
3319,47,130,-79.43305451795459,0.0,0.0,0.289628125,0.968884375
3449,48,130,-147.35856929421425,0.0,0.0,0.28922187499999996,0.967665625
3579,49,130,-91.20213153585792,0.0,0.0,0.28881562499999996,0.966446875
3651,50,72,-184.57945024967194,0.0,1.0,0.288590625,0.965771875
3781,51,130,-86.00750618100574,0.0,0.0,0.288184375,0.964553125
3862,52,81,-164.81657644361258,0.0,1.0,0.28793124999999997,0.96379375
3992,53,130,-85.6965451054275,0.0,0.0,0.287525,0.962575
4058,54,66,-153.29071526229382,0.0,1.0,0.28731875,0.96195625
4188,55,130,-100.68004531785846,0.0,0.0,0.2869125,0.9607375
4318,56,130,-84.56832004338503,0.0,0.0,0.28650624999999996,0.95951875
4448,57,130,-77.87703827625955,0.0,0.0,0.28609999999999997,0.9583
4578,58,130,-67.05277310172096,0.0,0.0,0.28569374999999997,0.95708125
4636,59,58,-163.545663818717,0.0,1.0,0.2855125,0.9565375
4766,60,130,-71.51896030083299,0.0,0.0,0.28510625,0.95531875
4896,61,130,-84.46138247475028,0.0,0.0,0.2847,0.9541
5026,62,130,-94.43192338198423,0.0,0.0,0.28429375,0.95288125
5156,63,130,-86.00056227296591,0.0,0.0,0.2838875,0.9516625
5258,64,102,-3.14122536405921,1.0,0.0,0.28356875,0.95070625
5388,65,130,-74.95601446554065,0.0,0.0,0.2831625,0.9494875
5518,66,130,-100.61222411692142,0.0,0.0,0.28275625,0.94826875
5648,67,130,-87.25909779593349,0.0,0.0,0.28235,0.94705
5727,68,79,-160.9708990417421,0.0,1.0,0.282103125,0.946309375
5857,69,130,-86.00993952900171,0.0,0.0,0.281696875,0.945090625
5987,70,130,-80.30947716534138,0.0,0.0,0.281290625,0.943871875
6117,71,130,-70.23545679822564,0.0,0.0,0.28088437499999996,0.942653125
6247,72,130,-80.0907279420644,0.0,0.0,0.28047812499999997,0.941434375
6377,73,130,-71.35019514709711,0.0,0.0,0.28007187499999997,0.940215625
6507,74,130,-66.3913139924407,0.0,0.0,0.279665625,0.938996875
6637,75,130,-74.76902167871594,0.0,0.0,0.279259375,0.937778125
6767,76,130,-71.26235895976424,0.0,0.0,0.278853125,0.936559375
6897,77,130,-60.59170573204756,0.0,0.0,0.278446875,0.935340625
7027,78,130,-70.89970021741465,0.0,0.0,0.278040625,0.934121875
7157,79,130,-60.9936492969282,0.0,0.0,0.277634375,0.9329031249999999
7287,80,130,-67.28499291837215,0.0,0.0,0.277228125,0.931684375
7417,81,130,-60.13353117229417,0.0,0.0,0.276821875,0.930465625
7547,82,130,-67.22215033322573,0.0,0.0,0.276415625,0.929246875
7621,83,74,-189.4306500032544,0.0,1.0,0.276184375,0.928553125
7688,84,67,-181.62200240790844,0.0,1.0,0.27597499999999997,0.927925
7818,85,130,-75.58406136184931,0.0,0.0,0.27556875,0.92670625
7948,86,130,-84.92962174490094,0.0,0.0,0.2751625,0.9254875
8078,87,130,-61.08482579793781,0.0,0.0,0.27475625,0.92426875
8145,88,67,-190.7298530396074,0.0,1.0,0.27454687499999997,0.923640625
8275,89,130,-64.91419106721878,0.0,0.0,0.27414062499999997,0.922421875
8405,90,130,-76.33325667958707,0.0,0.0,0.273734375,0.921203125
8535,91,130,-56.46615958586335,0.0,0.0,0.273328125,0.919984375
8665,92,130,-56.51934036239982,0.0,0.0,0.272921875,0.918765625
8781,93,116,-18.59142153710127,1.0,0.0,0.272559375,0.917678125
8911,94,130,-62.35255331546068,0.0,0.0,0.272153125,0.916459375
9041,95,130,-64.92620455473661,0.0,0.0,0.271746875,0.915240625
9109,96,68,-161.05677810311317,0.0,1.0,0.271534375,0.914603125
9239,97,130,-55.98350943624973,0.0,0.0,0.271128125,0.913384375
9369,98,130,-64.06737517565489,0.0,0.0,0.270721875,0.912165625
9499,99,130,-61.9005482532084,0.0,0.0,0.270315625,0.910946875
9629,100,130,-43.03561571985483,0.0,0.0,0.269909375,0.909728125
9759,101,130,-64.50734497187659,0.0,0.0,0.269503125,0.908509375
9889,102,130,-83.22023920714855,0.0,0.0,0.269096875,0.907290625
10019,103,130,-74.23228366672993,0.0,0.0,0.26869062499999996,0.906071875
10145,104,126,-0.20888575911521912,1.0,0.0,0.268296875,0.904890625
10275,105,130,-87.17555791512132,0.0,0.0,0.267890625,0.903671875
10405,106,130,-83.59276817366481,0.0,0.0,0.267484375,0.902453125
10535,107,130,-96.8040517270565,0.0,0.0,0.267078125,0.901234375
10665,108,130,-49.91309314221144,0.0,0.0,0.266671875,0.900015625
10795,109,130,-82.33771351352334,0.0,0.0,0.266265625,0.898796875
10925,110,130,-54.613970547914505,0.0,0.0,0.265859375,0.897578125
11055,111,130,-77.14128760248423,0.0,0.0,0.265453125,0.8963593750000001
11185,112,130,-45.98161941440776,0.0,0.0,0.265046875,0.895140625
11315,113,130,-66.35395873337984,0.0,0.0,0.26464062499999996,0.893921875
11432,114,117,-3.122108429670334,1.0,0.0,0.264275,0.892825
11562,115,130,-69.58709663897753,0.0,0.0,0.26386875,0.89160625
11678,116,116,0.049583323299884796,1.0,0.0,0.26350625,0.89051875
11808,117,130,-80.34523218497634,0.0,0.0,0.2631,0.8893
11928,118,120,-5.075061641633511,1.0,0.0,0.262725,0.8881749999999999
12058,119,130,-82.2273149639368,0.0,0.0,0.26231875,0.88695625
12188,120,130,-69.35672170296311,0.0,0.0,0.2619125,0.8857375
12292,121,104,6.073757339268923,1.0,0.0,0.2615875,0.8847625
12414,122,122,2.9154351204633713,1.0,0.0,0.26120625,0.88361875
12517,123,103,-38.8066226169467,1.0,0.0,0.260884375,0.882653125
12647,124,130,-60.22600842267275,0.0,0.0,0.260478125,0.881434375
12762,125,115,-18.685130149126053,1.0,0.0,0.26011875,0.88035625
12892,126,130,-68.1988273486495,0.0,0.0,0.2597125,0.8791375
13022,127,130,-55.17808077856898,0.0,0.0,0.25930624999999996,0.87791875
