global_step,episode,length,reward,success,collision,epsilon,temperature
49,1,49,-195.61841857479885,0.0,1.0,0.8997223333333334,0.999755
89,2,40,-200.9945728033781,0.0,1.0,0.8994956666666667,0.999555
146,3,57,-231.131630230695,0.0,1.0,0.8991726666666667,0.99927
204,4,58,-242.64589988067746,0.0,1.0,0.898844,0.99898
236,5,32,-198.8767513334751,0.0,1.0,0.8986626666666667,0.99882
271,6,35,-186.54540337622166,0.0,1.0,0.8984643333333333,0.998645
326,7,55,-230.12849291414022,0.0,1.0,0.8981526666666667,0.99837
380,8,54,-223.4409018275328,0.0,1.0,0.8978466666666667,0.9981
431,9,51,-220.83282896503806,0.0,1.0,0.8975576666666667,0.997845
475,10,44,-228.75034220516682,0.0,1.0,0.8973083333333334,0.997625
530,11,55,-223.69920758903027,0.0,1.0,0.8969966666666667,0.99735
571,12,41,-237.35777446255088,0.0,1.0,0.8967643333333334,0.997145
612,13,41,-219.61247803270817,0.0,1.0,0.896532,0.99694
649,14,37,-191.24484356865287,0.0,1.0,0.8963223333333333,0.996755
701,15,52,-233.10301185026765,0.0,1.0,0.8960276666666667,0.996495
739,16,38,-199.77204839885235,0.0,1.0,0.8958123333333333,0.996305
789,17,50,-217.8645014874637,0.0,1.0,0.895529,0.996055
826,18,37,-194.52711029350758,0.0,1.0,0.8953193333333334,0.99587
858,19,32,-199.76205947995186,0.0,1.0,0.895138,0.99571
901,20,43,-203.10166128352284,0.0,1.0,0.8948943333333333,0.995495
953,21,52,-208.70970933511853,0.0,1.0,0.8945996666666667,0.995235
1006,22,53,-215.28324363008142,0.0,1.0,0.8942993333333333,0.99497
1036,23,30,-178.62715609371662,0.0,1.0,0.8941293333333333,0.99482
1072,24,36,-200.1330294162035,0.0,1.0,0.8939253333333333,0.99464
1129,25,57,-228.72779336944222,0.0,1.0,0.8936023333333334,0.994355
1160,26,31,-184.59421862661839,0.0,1.0,0.8934266666666667,0.9942
1202,27,42,-210.39577293395996,0.0,1.0,0.8931886666666667,0.99399
1229,28,27,-184.41607247292995,0.0,1.0,0.8930356666666667,0.993855
1265,29,36,-198.22456143051386,0.0,1.0,0.8928316666666667,0.993675
1300,30,35,-195.0003643631935,0.0,1.0,0.8926333333333334,0.9935
1350,31,50,-210.95500292629004,0.0,1.0,0.89235,0.99325
1393,32,43,-213.3913734331727,0.0,1.0,0.8921063333333333,0.993035
1437,33,44,-225.48164881765842,0.0,1.0,0.891857,0.992815
1488,34,51,-222.6016738153994,0.0,1.0,0.891568,0.99256
1546,35,58,-249.04713551700115,0.0,1.0,0.8912393333333334,0.99227
1599,36,53,-223.4740334469825,0.0,1.0,0.890939,0.992005
1648,37,49,-225.6321433186531,0.0,1.0,0.8906613333333333,0.99176
1679,38,31,-185.38764682412148,0.0,1.0,0.8904856666666667,0.991605
1726,39,47,-210.68415553867817,0.0,1.0,0.8902193333333334,0.99137
1783,40,57,-203.03351893275976,0.0,1.0,0.8898963333333334,0.991085
1834,41,51,-209.93896009773016,0.0,1.0,0.8896073333333333,0.99083
1877,42,43,-210.14709901809692,0.0,1.0,0.8893636666666667,0.990615
1917,43,40,-190.8386356830597,0.0,1.0,0.8891370000000001,0.990415
1970,44,53,-244.24862138926983,0.0,1.0,0.8888366666666667,0.99015
2028,45,58,-218.48504455015063,0.0,1.0,0.8885080000000001,0.98986
2075,46,47,-225.44605061411858,0.0,1.0,0.8882416666666667,0.989625
2104,47,29,-179.98084816336632,0.0,1.0,0.8880773333333334,0.98948
2139,48,35,-192.28585413098335,0.0,1.0,0.887879,0.989305
2193,49,54,-227.44837054610252,0.0,1.0,0.8875730000000001,0.989035
2243,50,50,-214.95519165694714,0.0,1.0,0.8872896666666666,0.988785
2292,51,49,-221.75089970603585,0.0,1.0,0.887012,0.98854
2330,52,38,-218.112186729908,0.0,1.0,0.8867966666666667,0.98835
2376,53,46,-221.74013835564256,0.0,1.0,0.886536,0.98812
2414,54,38,-196.55517206341028,0.0,1.0,0.8863206666666666,0.98793
2455,55,41,-198.33525174856186,0.0,1.0,0.8860883333333334,0.987725
2504,56,49,-229.98067067563534,0.0,1.0,0.8858106666666666,0.98748
2550,57,46,-220.2902002185583,0.0,1.0,0.8855500000000001,0.98725
2607,58,57,-222.66303280740976,0.0,1.0,0.885227,0.986965
2637,59,30,-215.6068917363882,0.0,1.0,0.885057,0.986815
2695,60,58,-238.2740089003928,0.0,1.0,0.8847283333333333,0.986525
2736,61,41,-215.15732811391354,0.0,1.0,0.8844960000000001,0.98632
2781,62,45,-218.2609110251069,0.0,1.0,0.884241,0.9860949999999999
2829,63,48,-221.53223037719727,0.0,1.0,0.883969,0.985855
2870,64,41,-207.59244342148304,0.0,1.0,0.8837366666666667,0.98565
2905,65,35,-235.13859844207764,0.0,1.0,0.8835383333333333,0.985475
2958,66,53,-228.79720278829336,0.0,1.0,0.883238,0.98521
3001,67,43,-223.07588423788548,0.0,1.0,0.8829943333333333,0.984995
3059,68,58,-216.88797160238028,0.0,1.0,0.8826656666666667,0.984705
3094,69,35,-186.30717553943396,0.0,1.0,0.8824673333333334,0.98453
3147,70,53,-230.06202238053083,0.0,1.0,0.882167,0.984265
3200,71,53,-240.23291724920273,0.0,1.0,0.8818666666666667,0.984
3241,72,41,-194.3147125095129,0.0,1.0,0.8816343333333334,0.983795
3298,73,57,-235.05217500776052,0.0,1.0,0.8813113333333333,0.98351
3350,74,52,-234.03070072457194,0.0,1.0,0.8810166666666667,0.98325
3391,75,41,-211.3449951261282,0.0,1.0,0.8807843333333334,0.983045
3450,76,59,-226.02213529497385,0.0,1.0,0.8804500000000001,0.98275
3490,77,40,-196.22903816401958,0.0,1.0,0.8802233333333334,0.98255
3539,78,49,-219.58031647326425,0.0,1.0,0.8799456666666667,0.982305
3568,79,29,-187.7648284882307,0.0,1.0,0.8797813333333333,0.98216
3615,80,47,-227.37932378426194,0.0,1.0,0.879515,0.981925
3660,81,45,-239.96813864074647,0.0,1.0,0.87926,0.9817
3695,82,35,-201.04643815010786,0.0,1.0,0.8790616666666667,0.981525
3741,83,46,-214.5197434052825,0.0,1.0,0.878801,0.981295
3779,84,38,-197.53859305381775,0.0,1.0,0.8785856666666667,0.981105
3816,85,37,-212.41031907498837,0.0,1.0,0.878376,0.98092
3862,86,46,-239.06824651360512,0.0,1.0,0.8781153333333334,0.98069
3922,87,60,-238.8832072429359,0.0,1.0,0.8777753333333334,0.98039
3958,88,36,-197.13078097254038,0.0,1.0,0.8775713333333334,0.98021
4002,89,44,-211.76458626240492,0.0,1.0,0.877322,0.97999
4055,90,53,-210.0741733876057,0.0,1.0,0.8770216666666667,0.979725
4104,91,49,-216.97682501375675,0.0,1.0,0.876744,0.97948
4163,92,59,-218.37084935605526,0.0,1.0,0.8764096666666666,0.979185
4208,93,45,-201.33853820711374,0.0,1.0,0.8761546666666666,0.97896
4261,94,53,-220.31661522760987,0.0,1.0,0.8758543333333334,0.978695
4318,95,57,-236.40333497524261,0.0,1.0,0.8755313333333333,0.97841
4350,96,32,-198.61811946704984,0.0,1.0,0.8753500000000001,0.97825
4388,97,38,-222.19752506911755,0.0,1.0,0.8751346666666667,0.97806
4442,98,54,-227.1472139917314,0.0,1.0,0.8748286666666667,0.97779
4490,99,48,-215.22936742007732,0.0,1.0,0.8745566666666666,0.97755
4550,100,60,-234.76560935750604,0.0,1.0,0.8742166666666666,0.97725
4600,101,50,-211.55533443018794,0.0,1.0,0.8739333333333333,0.977
4655,102,55,-217.946486543864,0.0,1.0,0.8736216666666667,0.976725
4699,103,44,-202.83564580976963,0.0,1.0,0.8733723333333333,0.976505
4757,104,58,-226.2543347403407,0.0,1.0,0.8730436666666667,0.976215
4792,105,35,-198.8287700265646,0.0,1.0,0.8728453333333334,0.97604
4822,106,30,-188.73327400535345,0.0,1.0,0.8726753333333334,0.97589
4853,107,31,-180.44312039017677,0.0,1.0,0.8724996666666667,0.975735
4901,108,48,-246.33255085349083,0.0,1.0,0.8722276666666667,0.975495
4951,109,50,-208.6847261786461,0.0,1.0,0.8719443333333333,0.975245
4986,110,35,-201.63791251927614,0.0,1.0,0.871746,0.97507
5040,111,54,-233.53256146609783,0.0,1.0,0.87144,0.9748
5101,112,61,-209.45552714169025,0.0,1.0,0.8710943333333334,0.974495
5160,113,59,-228.42268665134907,0.0,1.0,0.87076,0.9742
5215,114,55,-210.01430698111653,0.0,1.0,0.8704483333333334,0.973925
5263,115,48,-230.0612795613706,0.0,1.0,0.8701763333333333,0.973685
5317,116,54,-227.65452267602086,0.0,1.0,0.8698703333333333,0.973415
5367,117,50,-226.56554771959782,0.0,1.0,0.869587,0.9731650000000001
5420,118,53,-223.88511523604393,0.0,1.0,0.8692866666666667,0.9729
5474,119,54,-205.34695314243436,0.0,1.0,0.8689806666666667,0.97263
5501,120,27,-163.68866505101323,0.0,1.0,0.8688276666666667,0.972495
5533,121,32,-183.24610863626003,0.0,1.0,0.8686463333333334,0.972335
5583,122,50,-201.03951765224338,0.0,1.0,0.868363,0.972085
5625,123,42,-208.5654087215662,0.0,1.0,0.868125,0.971875
5668,124,43,-208.08212752640247,0.0,1.0,0.8678813333333334,0.97166
5717,125,49,-208.01057209819555,0.0,1.0,0.8676036666666667,0.971415
5750,126,33,-211.07500904798508,0.0,1.0,0.8674166666666667,0.97125
5810,127,60,-236.2261548899114,0.0,1.0,0.8670766666666667,0.97095
