global_step,episode,length,reward,success,collision,epsilon,temperature
73,1,73,-240.83864577906206,0.0,1.0,0.8995863333333334,0.999635
139,2,66,-263.64344339072704,0.0,1.0,0.8992123333333334,0.999305
217,3,78,-247.9105792492628,0.0,1.0,0.8987703333333333,0.998915
296,4,79,-246.38580413535237,0.0,1.0,0.8983226666666667,0.99852
358,5,62,-229.0412910990417,0.0,1.0,0.8979713333333333,0.99821
423,6,65,-243.36638323962688,0.0,1.0,0.897603,0.997885
501,7,78,-257.9416163507849,0.0,1.0,0.897161,0.997495
577,8,76,-274.64376351237297,0.0,1.0,0.8967303333333334,0.997115
650,9,73,-244.27700344845653,0.0,1.0,0.8963166666666667,0.99675
721,10,71,-264.0966231189668,0.0,1.0,0.8959143333333334,0.996395
797,11,76,-238.47452387586236,0.0,1.0,0.8954836666666667,0.996015
864,12,67,-228.63911075517535,0.0,1.0,0.895104,0.99568
932,13,68,-234.7839578539133,0.0,1.0,0.8947186666666667,0.99534
997,14,65,-223.5676900446415,0.0,1.0,0.8943503333333334,0.995015
1074,15,77,-241.83348100772128,0.0,1.0,0.893914,0.99463
1141,16,67,-235.60068253986537,0.0,1.0,0.8935343333333333,0.994295
1215,17,74,-243.24729742109776,0.0,1.0,0.893115,0.993925
1280,18,65,-236.52763165906072,0.0,1.0,0.8927466666666667,0.9936
1342,19,62,-229.37336559593678,0.0,1.0,0.8923953333333333,0.99329
1411,20,69,-261.32378485798836,0.0,1.0,0.8920043333333334,0.992945
1484,21,73,-276.40538477152586,0.0,1.0,0.8915906666666666,0.99258
1561,22,77,-258.04141726344824,0.0,1.0,0.8911543333333334,0.992195
1621,23,60,-222.6750707179308,0.0,1.0,0.8908143333333334,0.991895
1684,24,63,-217.4567385544069,0.0,1.0,0.8904573333333333,0.99158
1762,25,78,-238.47628317773342,0.0,1.0,0.8900153333333334,0.99119
1824,26,62,-227.31272047385573,0.0,1.0,0.889664,0.99088
1893,27,69,-237.56038960814476,0.0,1.0,0.889273,0.990535
1955,28,62,-237.17799705080688,0.0,1.0,0.8889216666666667,0.990225
2021,29,66,-231.43928842246532,0.0,1.0,0.8885476666666667,0.989895
2085,30,64,-235.63807715149596,0.0,1.0,0.888185,0.989575
2158,31,73,-239.0678957849741,0.0,1.0,0.8877713333333334,0.98921
2227,32,69,-243.7510674521327,0.0,1.0,0.8873803333333333,0.988865
2297,33,70,-251.39782620221376,0.0,1.0,0.8869836666666667,0.988515
2371,34,74,-253.34897204488516,0.0,1.0,0.8865643333333334,0.988145
2451,35,80,-227.03341901721433,0.0,1.0,0.886111,0.987745
2527,36,76,-247.97557460935786,0.0,1.0,0.8856803333333334,0.987365
