global_step,episode,length,reward,success,collision,epsilon,temperature
68,1,68,-273.1478250026703,0.0,1.0,0.09984133333333334,0.9983
141,2,73,-230.16584672406316,0.0,1.0,0.09967100000000001,0.996475
217,3,76,-244.52396085485816,0.0,1.0,0.09949366666666667,0.994575
293,4,76,-248.35345688881353,0.0,1.0,0.09931633333333334,0.992675
423,5,130,-205.71749790431932,0.0,0.0,0.099013,0.989425
487,6,64,-249.54455806314945,0.0,1.0,0.09886366666666667,0.987825
617,7,130,-267.2790724267252,0.0,0.0,0.09856033333333333,0.984575
689,8,72,-262.262344956398,0.0,1.0,0.09839233333333335,0.982775
761,9,72,-276.3039816021919,0.0,1.0,0.09822433333333334,0.980975
831,10,70,-241.6752441674471,0.0,1.0,0.09806100000000001,0.979225
961,11,130,-150.9430111879483,0.0,0.0,0.09775766666666667,0.975975
1063,12,102,-54.82087821140885,1.0,0.0,0.09751966666666667,0.973425
1166,13,103,13.399934853892773,1.0,0.0,0.09727933333333334,0.97085
1267,14,101,25.919782670680434,1.0,0.0,0.09704366666666667,0.968325
1374,15,107,36.2508600782603,1.0,0.0,0.096794,0.96565
1477,16,103,19.767749879974872,1.0,0.0,0.09655366666666668,0.963075
1593,17,116,13.762674622237682,1.0,0.0,0.09628300000000001,0.960175
1693,18,100,-9.560855144169182,1.0,0.0,0.09604966666666667,0.957675
1791,19,98,-1.4184635654091835,1.0,0.0,0.095821,0.955225
1895,20,104,16.779845552518964,1.0,0.0,0.09557833333333333,0.952625
2005,21,110,11.001770123839378,1.0,0.0,0.09532166666666667,0.949875
2114,22,109,38.861021623015404,1.0,0.0,0.09506733333333334,0.94715
2207,23,93,23.632995235733688,1.0,0.0,0.09485033333333334,0.944825
2309,24,102,11.374795892741531,1.0,0.0,0.09461233333333334,0.942275
2418,25,109,34.279263304095366,1.0,0.0,0.094358,0.93955
2516,26,98,1.5742899561300874,1.0,0.0,0.09412933333333334,0.9371
2616,27,100,36.62842155247927,1.0,0.0,0.09389600000000001,0.9346
2710,28,94,9.063589680939913,1.0,0.0,0.09367666666666667,0.93225
2808,29,98,9.063811988569796,1.0,0.0,0.093448,0.9298
2909,30,101,33.32372268661857,1.0,0.0,0.09321233333333334,0.927275
3017,31,108,13.73383903875947,1.0,0.0,0.09296033333333334,0.924575
3118,32,101,29.41661037504673,1.0,0.0,0.09272466666666668,0.92205
3223,33,105,13.683542393147945,1.0,0.0,0.09247966666666667,0.9194249999999999
3330,34,107,20.993822511285543,1.0,0.0,0.09223,0.91675
3443,35,113,2.9698985326285765,1.0,0.0,0.09196633333333334,0.913925
3549,36,106,31.230478855781257,1.0,0.0,0.09171900000000001,0.9112750000000001
3656,37,107,15.917926892172545,1.0,0.0,0.09146933333333333,0.9086
3762,38,106,7.943357629257662,1.0,0.0,0.091222,0.90595
3865,39,103,27.117108516395092,1.0,0.0,0.09098166666666667,0.903375
3975,40,110,5.830320856664912,1.0,0.0,0.090725,0.900625
4082,41,107,25.381661548744887,1.0,0.0,0.09047533333333334,0.89795
4181,42,99,39.86273583211005,1.0,0.0,0.09024433333333334,0.895475
4281,43,100,7.364418267272413,1.0,0.0,0.09001100000000001,0.892975
4388,44,107,25.889352772384882,1.0,0.0,0.08976133333333333,0.8903
4499,45,111,-26.80798912793398,1.0,0.0,0.08950233333333334,0.887525
4605,46,106,34.95591676002368,1.0,0.0,0.089255,0.884875
4698,47,93,20.38358148979023,1.0,0.0,0.089038,0.88255
4797,48,99,15.369403153657913,1.0,0.0,0.08880700000000001,0.880075
4912,49,115,1.1686595920473337,1.0,0.0,0.08853866666666667,0.8772
5018,50,106,20.47466402966529,1.0,0.0,0.08829133333333333,0.8745499999999999
5123,51,105,31.367137797176838,1.0,0.0,0.08804633333333334,0.8719250000000001
5224,52,101,7.821569487452507,1.0,0.0,0.08781066666666668,0.8694
5330,53,106,5.507333490997553,1.0,0.0,0.08756333333333334,0.86675
5430,54,100,7.372286963742226,1.0,0.0,0.08733,0.86425
5528,55,98,29.684155961498618,1.0,0.0,0.08710133333333334,0.8618
5631,56,103,37.64122491888702,1.0,0.0,0.08686100000000001,0.859225
5738,57,107,3.2355541633442044,1.0,0.0,0.08661133333333333,0.85655
5851,58,113,-0.5233415775001049,1.0,0.0,0.08634766666666667,0.8537250000000001
5916,59,65,-132.16392859397456,0.0,1.0,0.08619600000000001,0.8521000000000001
6029,60,113,25.201307886774885,1.0,0.0,0.08593233333333333,0.849275
6129,61,100,30.57490098150447,1.0,0.0,0.085699,0.846775
6233,62,104,37.077358512207866,1.0,0.0,0.08545633333333334,0.844175
6340,63,107,29.214266762137413,1.0,0.0,0.08520666666666667,0.8415
6441,64,101,22.853152066469193,1.0,0.0,0.084971,0.838975
6540,65,99,34.53782891482115,1.0,0.0,0.08474000000000001,0.8365
6651,66,111,0.9017707617022097,1.0,0.0,0.084481,0.833725
6754,67,103,-23.492705773562193,1.0,0.0,0.08424066666666667,0.83115
6863,68,109,40.90833731042221,1.0,0.0,0.08398633333333333,0.828425
6958,69,95,33.495078943669796,1.0,0.0,0.08376466666666667,0.82605
7065,70,107,17.66028694435954,1.0,0.0,0.083515,0.823375
7174,71,109,-38.58264139294624,1.0,0.0,0.08326066666666668,0.82065
7275,72,101,29.51776871876791,1.0,0.0,0.083025,0.818125
7385,73,110,11.275002393871546,1.0,0.0,0.08276833333333333,0.815375
7515,74,130,-56.90929948911071,0.0,0.0,0.08246500000000001,0.812125
7616,75,101,27.876811925321817,1.0,0.0,0.08222933333333333,0.8096
7729,76,113,-53.6889605387114,1.0,0.0,0.08196566666666667,0.806775
7827,77,98,40.77245392277837,1.0,0.0,0.081737,0.804325
7933,78,106,36.02729404717684,1.0,0.0,0.08148966666666667,0.8016749999999999
8028,79,95,35.336351088713855,1.0,0.0,0.081268,0.7993
8131,80,103,24.533917881548405,1.0,0.0,0.08102766666666666,0.796725
8236,81,105,7.8897201009094715,1.0,0.0,0.08078266666666667,0.7941
8331,82,95,41.531170373316854,1.0,0.0,0.08056100000000001,0.791725
8434,83,103,40.9991142116487,1.0,0.0,0.08032066666666667,0.78915
8538,84,104,40.702556864824146,1.0,0.0,0.08007800000000001,0.78655
8635,85,97,37.73941908404231,1.0,0.0,0.07985166666666667,0.784125
8740,86,105,9.722782907570945,1.0,0.0,0.07960666666666667,0.7815
8854,87,114,29.439884431194514,1.0,0.0,0.07934066666666667,0.77865
8950,88,96,34.64516791794449,1.0,0.0,0.07911666666666667,0.77625
9054,89,104,7.747570291161537,1.0,0.0,0.078874,0.77365
9165,90,111,26.18340436508879,1.0,0.0,0.078615,0.770875
9281,91,116,26.733271658420563,1.0,0.0,0.07834433333333334,0.767975
9397,92,116,29.39568261569366,1.0,0.0,0.07807366666666668,0.765075
9498,93,101,37.46398219745606,1.0,0.0,0.077838,0.7625500000000001
9607,94,109,10.672578449826688,1.0,0.0,0.07758366666666668,0.759825
9717,95,110,25.740138299763203,1.0,0.0,0.077327,0.7570749999999999
9811,96,94,30.35516194999218,1.0,0.0,0.07710766666666667,0.754725
9911,97,100,7.6377020590007305,1.0,0.0,0.07687433333333334,0.752225
10021,98,110,10.771632924675941,1.0,0.0,0.07661766666666667,0.749475
10128,99,107,14.386253181379288,1.0,0.0,0.076368,0.7468
10242,100,114,13.848167270421982,1.0,0.0,0.076102,0.74395
10346,101,104,26.811804376542568,1.0,0.0,0.07585933333333333,0.74135
10463,102,117,22.516130972187966,1.0,0.0,0.07558633333333334,0.738425
10565,103,102,34.454286962747574,1.0,0.0,0.07534833333333334,0.7358750000000001
10676,104,111,24.404800101183355,1.0,0.0,0.07508933333333334,0.7331
10770,105,94,35.37469622818753,1.0,0.0,0.07487,0.73075
10864,106,94,35.3592442702502,1.0,0.0,0.07465066666666667,0.7284
10959,107,95,14.719684086740017,1.0,0.0,0.074429,0.7260249999999999
11066,108,107,-1.029069849755615,1.0,0.0,0.07417933333333333,0.7233499999999999
