episode,global_step,length,return,success,collision,pair_collision,epsilon,box_length,box_width,blocked_lane,actor_loss,critic_loss
1,130,130,-168.794040,0,0,0,0.099697,0.8438,0.9703,go2_3,nan,nan
2,260,130,-131.694228,0,0,0,0.099393,1.1423,0.8041,go2_3,-9.955112,426.393234
3,327,67,-303.047759,0,1,0,0.099237,0.8332,1.1656,go2_2,4.009436,386.576294
4,457,130,-143.844593,0,0,0,0.098934,1.0299,1.0425,go2_2,-4.835691,279.893433
5,538,81,-278.480737,0,1,0,0.098745,1.1808,1.1261,go2_3,1.670690,190.072990
6,668,130,-173.297827,0,0,0,0.098441,0.9563,1.0190,go2_3,1.860077,215.731377
7,798,130,-48.794857,0,0,0,0.098138,0.8359,0.8993,go2_3,-3.299969,102.034683
8,928,130,-25.971581,0,0,0,0.097835,1.0678,1.0667,go2_3,-2.056578,94.331623
9,1058,130,-45.961046,0,0,0,0.097531,0.9327,1.1977,go2_3,-5.435462,59.323404
10,1188,130,-37.760359,0,0,0,0.097228,0.9154,1.1445,go2_2,-4.017647,76.592983
11,1318,130,-46.566329,0,0,0,0.096925,0.9979,0.9272,go2_3,-6.534278,41.278676
12,1448,130,-101.935123,0,0,0,0.096621,0.9316,0.9167,go2_3,-8.909918,37.008369
13,1578,130,-191.022828,0,0,0,0.096318,1.0259,0.8298,go2_2,-8.400702,42.175158
14,1708,130,-261.674157,0,0,0,0.096015,1.0720,1.1764,go2_3,-5.229309,26.250493
15,1838,130,-356.434965,0,0,0,0.095711,1.0355,0.9561,go2_2,-4.757356,649.714718
16,1968,130,-176.815822,0,0,0,0.095408,1.1263,0.8633,go2_2,-3.983415,35.928012
17,2098,130,-32.718979,0,0,0,0.095105,1.0749,0.8986,go2_2,-5.877559,422.640865
18,2228,130,-33.761671,0,0,0,0.094801,1.1271,0.9778,go2_2,-5.761091,29.391775
19,2358,130,-33.290140,0,0,0,0.094498,0.9329,1.1684,go2_3,-6.268992,39.625311
20,2488,130,-36.007304,0,0,0,0.094195,0.9065,0.8856,go2_2,-8.002245,39.116606
21,2618,130,-21.651004,0,0,0,0.093891,1.0861,0.9854,go2_2,-4.966293,42.717274
22,2748,130,-47.166970,0,0,0,0.093588,0.8953,0.8326,go2_3,-8.755054,11.824177
