global_step,episode,length,reward,success,collision,epsilon,temperature
70,1,70,-457.66873233020306,0.0,1.0,0.19980166666666668,0.999125
128,2,58,-384.71781516075134,0.0,1.0,0.19963733333333333,0.9984
258,3,130,-423.87217359244823,0.0,0.0,0.199269,0.996775
319,4,61,-450.51429468393326,0.0,1.0,0.19909616666666669,0.9960125
389,5,70,-429.9381715655327,0.0,1.0,0.19889783333333336,0.9951375
456,6,67,-414.88784289360046,0.0,1.0,0.19870800000000002,0.9943
524,7,68,-383.5947431921959,0.0,1.0,0.19851533333333335,0.99345
654,8,130,-397.5456591695547,0.0,0.0,0.19814700000000002,0.991825
716,9,62,-389.8347846865654,0.0,1.0,0.19797133333333333,0.99105
791,10,75,-453.6540348827839,0.0,1.0,0.19775883333333336,0.9901125
847,11,56,-340.5622113645077,0.0,1.0,0.1976001666666667,0.9894125
925,12,78,-440.240731805563,0.0,1.0,0.1973791666666667,0.9884375
984,13,59,-421.8715944290161,0.0,1.0,0.197212,0.9877
1055,14,71,-439.0941416621208,0.0,1.0,0.19701083333333336,0.9868125
1112,15,57,-342.79970437288284,0.0,1.0,0.19684933333333335,0.9861
1185,16,73,-482.0262025743723,0.0,1.0,0.1966425,0.9851875
1243,17,58,-362.7544797360897,0.0,1.0,0.19647816666666668,0.9844625
1373,18,130,-438.43263660371304,0.0,0.0,0.19610983333333334,0.9828375
1438,19,65,-354.21833945810795,0.0,1.0,0.19592566666666666,0.982025
1506,20,68,-375.1302399635315,0.0,1.0,0.19573300000000002,0.981175
1580,21,74,-426.0876048654318,0.0,1.0,0.19552333333333335,0.98025
1646,22,66,-371.4426639601588,0.0,1.0,0.19533633333333333,0.979425
1776,23,130,-506.34165669977665,0.0,0.0,0.194968,0.9778
1837,24,61,-386.64646857976913,0.0,1.0,0.19479516666666669,0.9770375
1911,25,74,-383.67258401215076,0.0,1.0,0.19458550000000002,0.9761125
1984,26,73,-394.4724060446024,0.0,1.0,0.19437866666666667,0.9752
2067,27,83,-22.726362336426973,1.0,0.0,0.19414350000000002,0.9741625
2136,28,69,-199.95907647907734,0.0,1.0,0.193948,0.9733
2244,29,108,-47.13468609470874,1.0,0.0,0.193642,0.97195
2356,30,112,-51.378571831592126,1.0,0.0,0.19332466666666667,0.97055
2426,31,70,-257.80922824144363,0.0,1.0,0.19312633333333334,0.969675
2545,32,119,4.108439549803734,1.0,0.0,0.19278916666666668,0.9681875
2648,33,103,-19.668672639876604,1.0,0.0,0.19249733333333335,0.9669
2705,34,57,-173.92578667774796,0.0,1.0,0.19233583333333334,0.9661875
2783,35,78,-209.51266068220139,0.0,1.0,0.19211483333333335,0.9652125
