global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
10000,69.90841933871273,18.558696873496057,0.99,0.01,100.9,0.4415726202121004,3.01
20000,71.71455100642608,5.256464802732696,1.0,0.0,101.24,0.46363531678915026,2.84
30000,71.82581920405941,5.205397013679022,1.0,0.0,101.22,0.4823999467492104,2.88
40000,71.74340758116541,5.272509997404257,1.0,0.0,101.24,0.4508323669433594,2.84
50000,71.76174564438031,5.280270757400978,1.0,0.0,101.24,0.44531276226043703,2.84
60000,71.76174564438031,5.280270757400978,1.0,0.0,101.24,0.44531276226043703,2.84
70000,71.76053402735012,5.280112142405788,1.0,0.0,101.24,0.4449191361665726,2.84
80000,71.76053402735012,5.280112142405788,1.0,0.0,101.24,0.4449191361665726,2.84
90000,71.76053402735012,5.280112142405788,1.0,0.0,101.24,0.4449191361665726,2.84
100000,71.76053402735012,5.280112142405788,1.0,0.0,101.24,0.4449191361665726,2.84
110000,71.76053402735012,5.280112142405788,1.0,0.0,101.24,0.4449191361665726,2.84
120000,71.76053402735012,5.280112142405788,1.0,0.0,101.24,0.4449191361665726,2.84
