global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
10000,42.509439571370315,60.144386491796936,0.93,0.07,103.22,0.4003504383622203,2.2103052914142607
20000,53.493177798652034,32.58402043033565,0.98,0.02,105.32,0.42248041117098184,2.221221300959587
30000,53.60072498254565,32.411326069578806,0.98,0.02,105.32,0.41959166371729223,2.2237509220838545
40000,53.6067509350981,32.42255455256412,0.98,0.02,105.32,0.4193585606804118,2.22566084086895
50000,53.612136434317506,32.42906759219587,0.98,0.02,105.32,0.4195100572099909,2.2266435092687606
60000,53.5967081115357,32.63489639318393,0.98,0.02,105.32,0.41931834185146727,2.2266435092687606
70000,53.64781747198751,32.435366271242415,0.98,0.02,105.32,0.4192912491550669,2.2292157405614854
80000,53.64781747198751,32.435366271242415,0.98,0.02,105.32,0.4192912491550669,2.2292157405614854
90000,53.64781747198751,32.435366271242415,0.98,0.02,105.32,0.4192912491550669,2.2292157405614854
100000,53.64973942435434,32.42446092367724,0.98,0.02,105.32,0.41925872886087745,2.2292157405614854
