global_step,episode,length,reward,success,collision,epsilon,temperature
130,1,130,-156.6221214872785,0.0,0.0,0.8992633333333333,0.99935
210,2,80,-262.96927784057334,0.0,1.0,0.89881,0.99895
291,3,81,-253.6866592206061,0.0,1.0,0.898351,0.998545
421,4,130,-213.3040317115374,0.0,0.0,0.8976143333333334,0.997895
488,5,67,-249.0118824467063,0.0,1.0,0.8972346666666667,0.99756
566,6,78,-244.21204777434468,0.0,1.0,0.8967926666666667,0.99717
645,7,79,-215.11396729573607,0.0,1.0,0.8963450000000001,0.996775
729,8,84,-223.77949656918645,0.0,1.0,0.895869,0.996355
802,9,73,-272.45131172658876,0.0,1.0,0.8954553333333334,0.99599
865,10,63,-251.6169935427606,0.0,1.0,0.8950983333333333,0.995675
995,11,130,-179.01689484110102,0.0,0.0,0.8943616666666667,0.995025
1065,12,70,-251.1624330356717,0.0,1.0,0.893965,0.994675
1141,13,76,-248.76469596475363,0.0,1.0,0.8935343333333333,0.994295
1209,14,68,-241.85601013153791,0.0,1.0,0.893149,0.993955
1277,15,68,-244.61033586831763,0.0,1.0,0.8927636666666667,0.993615
1335,16,58,-271.9226121418178,0.0,1.0,0.892435,0.993325
1407,17,72,-245.1740406639874,0.0,1.0,0.892027,0.992965
1473,18,66,-265.42628359468654,0.0,1.0,0.891653,0.992635
1528,19,55,-247.1384848356247,0.0,1.0,0.8913413333333333,0.99236
1590,20,62,-225.1342675872147,0.0,1.0,0.8909900000000001,0.99205
1655,21,65,-262.13220550492406,0.0,1.0,0.8906216666666666,0.991725
1731,22,76,-230.33737232908607,0.0,1.0,0.8901910000000001,0.991345
1798,23,67,-229.8560759909451,0.0,1.0,0.8898113333333334,0.99101
1862,24,64,-259.5294307805598,0.0,1.0,0.8894486666666667,0.99069
1920,25,58,-238.46491679921746,0.0,1.0,0.88912,0.9904
2005,26,85,-244.31938855722547,0.0,1.0,0.8886383333333333,0.989975
2072,27,67,-265.17976235225797,0.0,1.0,0.8882586666666666,0.98964
2146,28,74,-265.40644638985395,0.0,1.0,0.8878393333333333,0.98927
2217,29,71,-194.9331170655787,0.0,1.0,0.887437,0.988915
2280,30,63,-263.288817204535,0.0,1.0,0.88708,0.9886
2350,31,70,-256.70036314055324,0.0,1.0,0.8866833333333334,0.98825
2426,32,76,-261.29888577386737,0.0,1.0,0.8862526666666667,0.98787
2501,33,75,-307.1737199127674,0.0,1.0,0.8858276666666667,0.987495
2572,34,71,-251.7518714144826,0.0,1.0,0.8854253333333334,0.98714
2642,35,70,-242.21027332544327,0.0,1.0,0.8850286666666667,0.98679
2707,36,65,-255.2375801806338,0.0,1.0,0.8846603333333334,0.986465
2765,37,58,-295.61044604703784,0.0,1.0,0.8843316666666667,0.986175
2825,38,60,-250.1587029248476,0.0,1.0,0.8839916666666667,0.985875
2891,39,66,-279.52853724732995,0.0,1.0,0.8836176666666666,0.985545
2951,40,60,-246.2945873704739,0.0,1.0,0.8832776666666667,0.985245
