global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,empty_success_rate,obstacle_success_rate
0,-54.856382481133735,104.91064408612455,0.56,0.44,0.42,81.63,2.669706231537275,1.27450135409832,0.982796405873329,0.035158642655886314,0.003368859487933358,1.0,0.5164835164835165
10000,-30.447018631938263,111.87655076024907,0.84,0.16,0.02,98.02,2.1109393712203017,1.5164371305704116,0.9368225759203203,0.0625382574984697,0.020863089165476432,1.0,0.8241758241758241
20000,-19.085423877550237,110.02441790316902,0.86,0.14,0.02,98.91,2.1382145378435964,1.5473701202869414,0.9540537953479468,0.04519259933272672,0.009250834091598423,1.0,0.8461538461538461
30000,-24.368408546044083,107.95930149898172,0.88,0.12,0.02,100.11,2.1772456065635195,1.5005787789821625,0.7784600850259802,0.052342423334332235,0.010588352811906902,1.0,0.8681318681318682
40000,-37.906095673400486,114.71716847210006,0.83,0.17,0.04,97.97,2.132646460066317,1.6211973375082016,0.7883352645809193,0.055884454424823926,0.012197611513728692,1.0,0.8131868131868132
50000,-14.579011218628658,103.86632558931657,0.9,0.1,0.01,100.63,2.1815944678185044,1.5056058013439177,0.8636619718309859,0.05604690450163967,0.01291861273973964,1.0,0.8901098901098901
60000,-12.06425844196965,101.52073234050563,0.9,0.1,0.0,100.69,2.162391473049065,1.552510039806366,0.8676940424732194,0.04906147581686364,0.010477703843479989,1.0,0.8901098901098901
70000,-13.335000533786369,107.34377027026383,0.87,0.13,0.04,99.71,2.1626013196923304,1.5390925264358521,0.8908450704225352,0.04152040918664126,0.005816868919867616,1.0,0.8571428571428571
80000,-5.377203781509524,94.54742004843376,0.88,0.12,0.01,100.18,2.1790384564176204,1.6511672461032867,0.8972926921620599,0.03927929726492314,0.004841285685765622,1.0,0.8681318681318682
90000,-12.613493990355856,105.14380396785394,0.9,0.1,0.01,100.95,2.166562655273592,1.5441411155462266,0.89731807951988,0.04512134720158494,0.008271421495789995,1.0,0.8901098901098901
100000,-8.825433799908716,95.62571249328974,0.91,0.09,0.02,101.31,2.178723315637326,1.5735060399770737,0.899038012515177,0.048859934853420196,0.012535781265422959,1.0,0.9010989010989011
