global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,empty_success_rate,obstacle_success_rate
0,-336.3338502990827,60.776746401092694,0.0,0.66,0.22,83.61,2.426704169619843,2.4589973199367523,0.22597137014314927,0.4060519076665471,0.348164095203923,0.0,0.0
10000,18.13251600785181,31.31675966216153,0.51,0.0,0.0,114.75,2.56563006401062,2.84,0.7643772592836017,0.024967320261437907,4.3572984749455335e-05,1.0,0.46153846153846156
20000,44.37245994474768,37.73560958426478,0.99,0.01,0.0,99.93,2.309180921590887,2.4768880367279054,0.9399049417279771,0.03852696887821475,0.014009806864805364,1.0,0.989010989010989
30000,45.76963582402124,36.87622454942303,1.0,0.0,0.0,100.72,2.3781028160452844,2.7542168498039246,0.9378688630909916,0.036934074662430504,0.012112787926926131,1.0,1.0
40000,58.89305578458123,12.249969468405142,1.0,0.0,0.0,101.35,2.4188632613420484,2.382332639694214,0.9347812118486153,0.03482979773063641,0.007745436605821411,1.0,1.0
50000,54.015806141332725,25.294244570662304,0.99,0.01,0.0,100.65,2.3516488474747166,2.492347865104675,0.9371273010111486,0.027670144063586685,0.005365126676602086,1.0,0.989010989010989
60000,60.04467252518516,10.95274463643229,1.0,0.0,0.0,101.23,2.373484224379063,2.4527289390563967,0.9386664950444072,0.021633902993183837,0.0014323817050281536,1.0,1.0
70000,62.96878592888359,8.349161072539198,1.0,0.0,0.0,100.97,2.3542244604229925,2.6810934734344483,0.9585539057456424,0.021194414182430423,0.003912053085074775,1.0,1.0
80000,64.27931980970315,7.031909890313004,1.0,0.0,0.0,101.18,2.389903453886509,2.4581977343559265,0.9643454756081864,0.016801739474204387,0.0006918363312907689,1.0,1.0
90000,64.3622786379885,5.907744179738836,1.0,0.0,0.0,101.66,2.422898777425289,2.450700125694275,0.9693636072913335,0.017509344875073777,0.0008361204013377926,1.0,1.0
100000,64.34953757550102,5.965325016927299,1.0,0.0,0.0,101.47,2.399758293032646,2.3670402812957763,0.9685736275012827,0.016852271607371638,0.0004927564797477087,1.0,1.0
110000,64.43149330481421,5.602958802156645,1.0,0.0,0.0,101.46,2.3932513591647147,2.37,0.9714578923738054,0.01714961561206387,0.0008377685787502464,1.0,1.0
120000,64.11166583716869,6.594830301097718,1.0,0.0,0.0,101.16,2.3720359513163567,2.39,0.966198815348957,0.017002767892447607,0.0006919731119019375,1.0,1.0
130000,64.28262915160042,6.542382038878692,1.0,0.0,0.0,101.8,2.431008812189102,2.370751881599426,0.9666858127512924,0.01601178781925344,0.0,1.0,1.0
140000,64.09740358892363,6.631297858690583,1.0,0.0,0.0,101.91,2.4454130199551583,2.35,0.9645656745905296,0.016485133941713276,0.00029437739181630853,1.0,1.0
150000,64.45149667649996,6.61265638043279,1.0,0.0,0.0,101.89,2.4371703982353212,2.36,0.9685069488716053,0.016390224752183727,0.00029443517518892924,1.0,1.0
