global_step,episode,length,reward,success,collision,epsilon,temperature
112,1,112,34.850001951213926,1.0,0.0,0.05984,0.9976
176,2,64,-163.1471962109208,0.0,1.0,0.05974857142857143,0.9962285714285715
288,3,112,40.08235391229391,1.0,0.0,0.05958857142857143,0.9938285714285714
386,4,98,22.105584528297186,1.0,0.0,0.05944857142857143,0.9917285714285714
489,5,103,51.988188951741904,1.0,0.0,0.05930142857142857,0.9895214285714286
601,6,112,59.24229077482596,1.0,0.0,0.05914142857142857,0.9871214285714286
651,7,50,-126.81358698103577,0.0,1.0,0.05907,0.98605
763,8,112,37.50459374859929,1.0,0.0,0.05891,0.98365
837,9,74,-175.28399177081883,0.0,1.0,0.05880428571428571,0.9820642857142857
941,10,104,59.20151477353647,1.0,0.0,0.05865571428571428,0.9798357142857143
997,11,56,-184.58770423475653,0.0,1.0,0.058575714285714287,0.9786357142857143
1104,12,107,44.78870687959716,1.0,0.0,0.05842285714285714,0.9763428571428572
1217,13,113,67.42823982937261,1.0,0.0,0.05826142857142857,0.9739214285714286
1322,14,105,70.5939019843936,1.0,0.0,0.05811142857142857,0.9716714285714285
1425,15,103,71.84141222713515,1.0,0.0,0.05796428571428571,0.9694642857142857
1532,16,107,72.62205873429775,1.0,0.0,0.05781142857142857,0.9671714285714286
1638,17,106,71.13439851393923,1.0,0.0,0.057659999999999996,0.9649
1742,18,104,66.93712291074917,1.0,0.0,0.05751142857142857,0.9626714285714286
1785,19,43,-223.31144144386053,0.0,1.0,0.05745,0.96175
1893,20,108,71.14529890008271,1.0,0.0,0.05729571428571428,0.9594357142857143
1995,21,102,70.94154545245692,1.0,0.0,0.05715,0.95725
2104,22,109,24.95749952737242,1.0,0.0,0.05699428571428571,0.9549142857142857
2206,23,102,66.6023855023086,1.0,0.0,0.05684857142857143,0.9527285714285714
2312,24,106,71.7682401444763,1.0,0.0,0.056697142857142856,0.9504571428571429
2415,25,103,69.19752980023623,1.0,0.0,0.056549999999999996,0.94825
2517,26,102,53.57209532614797,1.0,0.0,0.05640428571428571,0.9460642857142857
2619,27,102,69.45067801885307,1.0,0.0,0.05625857142857143,0.9438785714285715
2730,28,111,69.4705702662468,1.0,0.0,0.0561,0.9415
2844,29,114,55.6238130023703,1.0,0.0,0.05593714285714285,0.9390571428571428
2946,30,102,72.25710564898327,1.0,0.0,0.05579142857142857,0.9368714285714286
3056,31,110,61.96224996029923,1.0,0.0,0.05563428571428571,0.9345142857142857
