global_step,episode,length,reward,success,collision,epsilon,temperature
64,1,64,-210.4786143489182,0.0,1.0,0.11990857142857142,0.9993142857142857
134,2,70,-253.54300463432446,0.0,1.0,0.11980857142857143,0.9985642857142857
197,3,63,-252.97328027710319,0.0,1.0,0.11971857142857142,0.9978892857142857
258,4,61,-343.8157026357949,0.0,1.0,0.11963142857142857,0.9972357142857143
317,5,59,-241.7389622312039,0.0,1.0,0.11954714285714285,0.9966035714285715
377,6,60,-250.61806628433987,0.0,1.0,0.11946142857142857,0.9959607142857143
436,7,59,-212.98118663066998,0.0,1.0,0.11937714285714285,0.9953285714285715
500,8,64,-239.40251130284742,0.0,1.0,0.11928571428571429,0.9946428571428572
554,9,54,-208.53721073269844,0.0,1.0,0.11920857142857143,0.9940642857142857
619,10,65,-229.77119261398911,0.0,1.0,0.11911571428571428,0.9933678571428571
677,11,58,-241.78826746717095,0.0,1.0,0.11903285714285713,0.9927464285714286
731,12,54,-215.42092027887702,0.0,1.0,0.11895571428571428,0.9921678571428572
788,13,57,-216.29081060737371,0.0,1.0,0.11887428571428571,0.9915571428571428
853,14,65,-282.05124021321535,0.0,1.0,0.11878142857142857,0.9908607142857143
907,15,54,-217.48754848726094,0.0,1.0,0.1187042857142857,0.9902821428571429
968,16,61,-224.02214250341058,0.0,1.0,0.11861714285714285,0.9896285714285714
1026,17,58,-208.4200065121986,0.0,1.0,0.1185342857142857,0.9890071428571429
1092,18,66,-262.3016757816076,0.0,1.0,0.11843999999999999,0.9883
1151,19,59,-269.42809312045574,0.0,1.0,0.11835571428571429,0.9876678571428571
1214,20,63,-214.39066465571523,0.0,1.0,0.11826571428571428,0.9869928571428571
1276,21,62,-209.3973743286915,0.0,1.0,0.11817714285714286,0.9863285714285714
1333,22,57,-224.62350909784436,0.0,1.0,0.11809571428571428,0.9857178571428571
1394,23,61,-238.17276356369257,0.0,1.0,0.11800857142857142,0.9850642857142857
1456,24,62,-269.4419805780053,0.0,1.0,0.11792,0.9844
1514,25,58,-251.2120778192766,0.0,1.0,0.11783714285714285,0.9837785714285714
1574,26,60,-223.13181426003575,0.0,1.0,0.11775142857142856,0.9831357142857143
