global_step,episode,length,reward,success,collision,epsilon,temperature
64,1,64,-210.4786143489182,0.0,1.0,0.19981866666666667,0.9992
133,2,69,-241.07411137223244,0.0,1.0,0.19962316666666668,0.9983375
194,3,61,-218.80129054933786,0.0,1.0,0.19945033333333334,0.997575
254,4,60,-223.43027078732848,0.0,1.0,0.19928033333333334,0.996825
310,5,56,-224.18634458258748,0.0,1.0,0.19912166666666667,0.996125
367,6,57,-220.4609891064465,0.0,1.0,0.1989601666666667,0.9954125
428,7,61,-239.95965994894505,0.0,1.0,0.19878733333333334,0.99465
504,8,76,-254.63547897338867,0.0,1.0,0.198572,0.9937
558,9,54,-229.83817283809185,0.0,1.0,0.198419,0.993025
618,10,60,-217.79942158982158,0.0,1.0,0.198249,0.992275
677,11,59,-213.55849488079548,0.0,1.0,0.19808183333333335,0.9915375
738,12,61,-232.21720676496625,0.0,1.0,0.197909,0.990775
792,13,54,-190.89142541959882,0.0,1.0,0.19775600000000002,0.9901
858,14,66,-276.0696454793215,0.0,1.0,0.19756900000000002,0.989275
912,15,54,-231.6556783951819,0.0,1.0,0.197416,0.9886
972,16,60,-246.78113800659776,0.0,1.0,0.197246,0.98785
1030,17,58,-206.75035563111305,0.0,1.0,0.19708166666666668,0.987125
1093,18,63,-240.92832200508565,0.0,1.0,0.19690316666666668,0.9863375
1150,19,57,-233.82187450490892,0.0,1.0,0.19674166666666668,0.985625
1209,20,59,-189.39636753872037,0.0,1.0,0.1965745,0.9848875
1274,21,65,-233.2561405398883,0.0,1.0,0.19639033333333333,0.984075
1330,22,56,-163.80038057127967,0.0,1.0,0.19623166666666667,0.983375
1394,23,64,-237.44961776025593,0.0,1.0,0.19605033333333335,0.982575
1460,24,66,-256.41935658082366,0.0,1.0,0.19586333333333333,0.98175
1522,25,62,-254.01163877546787,0.0,1.0,0.19568766666666668,0.980975
1582,26,60,-255.94083373248577,0.0,1.0,0.19551766666666667,0.980225
1644,27,62,-160.62519768998027,0.0,1.0,0.19534200000000002,0.97945
1717,28,73,-278.6416720934212,0.0,1.0,0.19513516666666667,0.9785375
1791,29,74,-159.38976384187117,0.0,1.0,0.1949255,0.9776125
1852,30,61,-220.8715846836567,0.0,1.0,0.19475266666666669,0.97685
1922,31,70,-273.26048039644957,0.0,1.0,0.19455433333333336,0.975975
1989,32,67,-243.0297552458942,0.0,1.0,0.19436450000000002,0.9751375
2049,33,60,-156.54375352337956,0.0,1.0,0.19419450000000002,0.9743875
2154,34,105,44.33350143630014,1.0,0.0,0.193897,0.973075
2266,35,112,-50.33397755399346,1.0,0.0,0.19357966666666668,0.971675
2347,36,81,-173.4430073685944,0.0,1.0,0.19335016666666668,0.9706625
2424,37,77,-201.973402638454,0.0,1.0,0.193132,0.9697
2540,38,116,29.00664697960019,1.0,0.0,0.19280333333333335,0.96825
2652,39,112,-21.980480280239135,1.0,0.0,0.19248600000000002,0.96685
2758,40,106,-1.4761357679963112,1.0,0.0,0.19218566666666667,0.965525
2864,41,106,24.136181380599737,1.0,0.0,0.19188533333333335,0.9642
2940,42,76,-165.9750153645873,0.0,1.0,0.19167,0.9632499999999999
3048,43,108,15.434245391283184,1.0,0.0,0.191364,0.9619
3164,44,116,8.161030825227499,1.0,0.0,0.19103533333333333,0.96045
3219,45,55,-204.34489203616977,0.0,1.0,0.1908795,0.9597625
3293,46,74,-191.6908261589706,0.0,1.0,0.19066983333333334,0.9588375
3409,47,116,25.942185723222792,1.0,0.0,0.19034116666666667,0.9573875000000001
3518,48,109,-8.919526848942041,1.0,0.0,0.19003233333333333,0.956025
3574,49,56,-165.57691486552358,0.0,1.0,0.1898736666666667,0.955325
3684,50,110,54.19133548857644,1.0,0.0,0.189562,0.95395
3744,51,60,-173.52704894915223,0.0,1.0,0.189392,0.9532
3856,52,112,-15.391621415503323,1.0,0.0,0.18907466666666667,0.9518
3967,53,111,-20.2798306690529,1.0,0.0,0.18876016666666667,0.9504125
4080,54,113,-28.83325908286497,1.0,0.0,0.18844,0.949
4152,55,72,-168.9501955327578,0.0,1.0,0.18823600000000001,0.9480999999999999
4258,56,106,4.477205293253064,1.0,0.0,0.18793566666666667,0.946775
4373,57,115,22.533651826437563,1.0,0.0,0.18760983333333334,0.9453375
4478,58,105,30.703336059115827,1.0,0.0,0.18731233333333336,0.944025
4583,59,105,-9.789301428943872,1.0,0.0,0.18701483333333335,0.9427125
4692,60,109,5.369627645704895,1.0,0.0,0.186706,0.94135
4751,61,59,-143.16640090942383,0.0,1.0,0.18653883333333335,0.9406125
4862,62,111,6.713346118340269,1.0,0.0,0.18622433333333335,0.939225
4972,63,110,-11.644732781220227,1.0,0.0,0.18591266666666667,0.93785
5046,64,74,-164.59192908601835,0.0,1.0,0.185703,0.936925
5123,65,77,-151.10770982690156,0.0,1.0,0.18548483333333335,0.9359625
5182,66,59,-327.15068040788174,0.0,1.0,0.18531766666666669,0.935225
5299,67,117,28.692918295506388,1.0,0.0,0.18498616666666667,0.9337625
5408,68,109,-13.370136011391878,1.0,0.0,0.18467733333333333,0.9324
5515,69,107,-7.566763177514076,1.0,0.0,0.18437416666666667,0.9310625
5628,70,113,-43.77434325776994,1.0,0.0,0.184054,0.92965
5733,71,105,36.609251517336816,1.0,0.0,0.18375650000000002,0.9283375
5812,72,79,-138.3307964419946,0.0,1.0,0.18353266666666668,0.92735
5909,73,97,38.74833410046995,1.0,0.0,0.18325783333333334,0.9261375000000001
5966,74,57,-243.05156250717118,0.0,1.0,0.18309633333333333,0.9254249999999999
6074,75,108,-0.15928049804642797,1.0,0.0,0.18279033333333333,0.924075
6139,76,65,-197.56434112787247,0.0,1.0,0.18260616666666668,0.9232625
6241,77,102,-7.279392849653959,1.0,0.0,0.18231716666666667,0.9219875
6355,78,114,-30.664442110806704,1.0,0.0,0.18199416666666668,0.9205625
